# gzz component calculated with tessgzz 1.0:
#   local time: Fri Mar 18 20:09:38 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
# gyz component calculated with tessgyz 1.0:
#   local time: Fri Mar 18 20:09:38 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
# gyy component calculated with tessgyy 1.0:
#   local time: Fri Mar 18 20:09:38 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
# gxz component calculated with tessgxz 1.0:
#   local time: Fri Mar 18 20:09:38 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
# gxy component calculated with tessgxy 1.0:
#   local time: Fri Mar 18 20:09:38 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
# gxx component calculated with tessgxx 1.0:
#   local time: Fri Mar 18 20:09:38 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
# gz component calculated with tessgz 1.0:
#   local time: Fri Mar 18 20:09:38 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
0.9 -0.9 20000 0.00620544 0.00130502 -0.00411301 -0.000908371 0.00130603 0.000908483 -0.00261105
0.95 -0.9 20000 0.00574166 0.00100179 -0.00378902 -0.000795898 0.00141272 0.000840228 -0.00241451
-1.0 -0.85 20000 0.00569512 0.000590683 0.00371339 -0.000741329 0.00180405 -0.000872275 -0.00239474
-0.95 -0.85 20000 0.00617873 0.000845786 0.00406941 -0.000851624 0.00175397 -0.00095194 -0.00259975
-0.9 -0.85 20000 0.00670745 0.00115634 0.00445015 -0.000979181 0.00166641 -0.0010369 -0.00282274
-0.85 -0.85 20000 0.00728413 0.00153176 0.00485279 -0.00112639 0.00153283 -0.00112651 -0.00306458
-0.8 -0.85 20000 0.00791113 0.00198225 0.00527249 -0.00129575 0.00134364 -0.00121965 -0.00332589
-0.75 -0.85 20000 0.00859008 0.00251847 0.00570182 -0.00148977 0.00108846 -0.00131462 -0.00360693
-0.7 -0.85 20000 0.0093215 0.00315091 0.00613009 -0.00171083 0.000756549 -0.00140903 -0.00390746
-0.65 -0.85 20000 0.0101043 0.00388915 0.00654281 -0.0019609 0.000337451 -0.00149961 -0.0042266
-0.6 -0.85 20000 0.0109356 0.00474057 0.0069211 -0.00224126 -0.000177947 -0.00158215 -0.00456262
-0.55 -0.85 20000 0.0118095 0.00570885 0.00724147 -0.00255208 -0.000796057 -0.00165142 -0.00491279
-0.5 -0.85 20000 0.0127174 0.00679207 0.00747604 -0.00289194 -0.00151885 -0.00170119 -0.00527322
-0.45 -0.85 20000 0.0136468 0.00798055 0.00759332 -0.00325733 -0.00234186 -0.00172449 -0.00563869
-0.4 -0.85 20000 0.0145811 0.00925481 0.00755998 -0.00364211 -0.00325216 -0.00171394 -0.00600265
-0.35 -0.85 20000 0.0155001 0.0105839 0.00734363 -0.00403719 -0.00422667 -0.00166235 -0.00635721
-0.3 -0.85 20000 0.0163793 0.0119246 0.00691653 -0.00443038 -0.00523121 -0.00156362 -0.00669338
-0.25 -0.85 20000 0.0171919 0.0132224 0.00626009 -0.00480665 -0.00622102 -0.00141366 -0.00700138
-0.2 -0.85 20000 0.017909 0.0144142 0.00536942 -0.00514893 -0.00714303 -0.00121145 -0.00727114
